co_name,Address,Place,Zip,Bill No,Date,Product,Quantity,Rate,Amount
Gamma Industries,845 Willow Rd,New York,10001,BIL001,01/01/2023,Monitor,16,116,1856
Zeta Enterprises,831 Spruce Ave,Chicago,60601,BIL032,02/01/2023,Laptop,31,57,1767
Beta Solutions,209 Pine Rd,Chicago,60601,BIL060,03/01/2023,Mouse,1,219,219
Gamma Industries,504 Redwood Blvd,Houston,77002,BIL091,04/01/2023,Tablet,15,422,6330
Beta Solutions,326 Pine Rd,Jacksonville,32034,BIL002,01/02/2023,Monitor,20,387,7740
Beta Solutions,410 Maple Ln,Houston,77002,BIL033,02/02/2023,Monitor,15,470,7050
Alpha Corp,964 Cedar St,San Diego,92101,BIL061,03/02/2023,Mouse,5,158,790
Beta Solutions,699 Spruce Ave,Chicago,60601,BIL092,04/02/2023,Router,49,101,4949
Iota Solutions,134 Willow Rd,Phoenix,85001,BIL003,01/03/2023,Laptop,48,49,2352
Lambda Labs,199 Maple Ln,San Jose,95101,BIL034,02/03/2023,Tablet,23,346,7958
Beta Solutions,612 Elm Blvd,Dallas,75201,BIL062,03/03/2023,Keyboard,13,26,338
Beta Solutions,659 Redwood Blvd,San Diego,92101,BIL093,04/03/2023,Webcam,48,103,4944
Kappa Innovations,905 Maple Ln,Houston,77002,BIL004,01/04/2023,Tablet,2,196,392
Beta Solutions,476 Pine Rd,Houston,77002,BIL035,02/04/2023,Keyboard,24,150,3600
Delta Tech,855 Maple Ln,San Diego,92101,BIL063,03/04/2023,Mouse,6,369,2214
Alpha Corp,974 Redwood Blvd,Dallas,75201,BIL094,04/04/2023,Keyboard,33,70,2310
Iota Solutions,577 Maple Ln,Austin,73301,BIL005,01/05/2023,Laptop,38,59,2242
Alpha Corp,755 Birch Dr,Los Angeles,90001,BIL036,02/05/2023,Headphones,20,435,8700
Theta Services,789 Spruce Ave,New York,10001,BIL064,03/05/2023,Tablet,4,431,1724
Kappa Innovations,115 Maple Ln,Phoenix,85001,BIL095,04/05/2023,Router,37,162,5994
Zeta Enterprises,651 Redwood Blvd,Los Angeles,90001,BIL006,01/06/2023,Webcam,10,110,1100
Zeta Enterprises,229 Willow Rd,Los Angeles,90001,BIL037,02/06/2023,SSD,48,83,3984
Gamma Industries,892 Redwood Blvd,Austin,73301,BIL065,03/06/2023,Keyboard,46,171,7866
Alpha Corp,506 Birch Dr,Dallas,75201,BIL096,04/06/2023,Monitor,22,311,6842
Alpha Corp,210 Maple Ln,Phoenix,85001,BIL007,01/07/2023,Router,48,192,9216
Delta Tech,651 Main St,San Jose,95101,BIL038,02/07/2023,Headphones,11,61,671
Iota Solutions,137 Oak Ave,Chicago,60601,BIL066,03/07/2023,Keyboard,46,209,9614
Gamma Industries,715 Maple Ln,Austin,73301,BIL097,04/07/2023,SSD,27,470,12690
